Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Source of gene name	NCBI gene ID	UniProtKB Gene Name ID	EntrezGene transcript name ID
ENSCAFG00000042288	ENSCAFG00000042288.1	1	25774889	25775419					
ENSCAFG00000044281	ENSCAFG00000044281.1	1	49321588	49322991					
ENSCAFG00000049337	ENSCAFG00000049337.1	1	49269241	49269774					
ENSCAFG00000007621	ENSCAFG00000007621.4	1	121758236	121766652	C1H19orf12	VGNC Symbol	484611	F6X6G6	
ENSCAFG00000047000	ENSCAFG00000047000.1	1	121708601	121709665					
ENSCAFG00000046387	ENSCAFG00000046387.1	1	121702719	121704520					
ENSCAFG00000004746	ENSCAFG00000004746.4	1	111548719	111571816	XRCC1	VGNC Symbol	476447	F1PEQ7	
ENSCAFG00000007303	ENSCAFG00000007303.4	1	117922635	117948316	GPI	VGNC Symbol	611942		
ENSCAFG00000031695	ENSCAFG00000031695.2	1	25694424	25694527	U6	RFAM			
ENSCAFG00000007614	ENSCAFG00000007614.4	1	121688796	121697649	CCNE1	VGNC Symbol	484610		
ENSCAFG00000041080	ENSCAFG00000041080.1	1	121678735	121680790					
ENSCAFG00000048527	ENSCAFG00000048527.1	1	121637695	121639639					
ENSCAFG00000038617	ENSCAFG00000038617.2	1	121633549	121637057					
ENSCAFG00000007238	ENSCAFG00000007238.5	1	117886566	117918369	PDCD2L	VGNC Symbol	484594	E2R483	
ENSCAFG00000027900	ENSCAFG00000027900.1	1	107102656	107102773	SNORA70	RFAM			
ENSCAFG00000004742	ENSCAFG00000004742.4	1	111544005	111547581	PINLYP	VGNC Symbol			
ENSCAFG00000003677	ENSCAFG00000003677.5	1	107074010	107097762	CCDC155	VGNC Symbol	100855738		
ENSCAFG00000007258	ENSCAFG00000007258.4	1	117843510	117883633	UBA2	VGNC Symbol	476490	E2R837	
ENSCAFG00000002580	ENSCAFG00000002580.5	1	102247010	102253733	ISOC2	VGNC Symbol	609103	E2RRX7	
ENSCAFG00000031996	ENSCAFG00000031996.2	1	111532317	111537042	IRGQ	VGNC Symbol	612411	J9P3R8	
ENSCAFG00000003675	ENSCAFG00000003675.4	1	107069395	107070530	PTH2	VGNC Symbol	100856662	F1PHX0	
ENSCAFG00000007230	ENSCAFG00000007230.4	1	117801082	117803083					
ENSCAFG00000031563	ENSCAFG00000031563.2	1	107064754	107067070	GFY	HGNC Symbol	100855724		
ENSCAFG00000047090	ENSCAFG00000047090.1	1	102239848	102245310	C19orf85	HGNC Symbol			
ENSCAFG00000032330	ENSCAFG00000032330.2	1	102225674	102228781	ZNF628	HGNC Symbol	484294		
ENSCAFG00000044320	ENSCAFG00000044320.1	1	111529942	111532767	ZNF576	HGNC Symbol	484467		
ENSCAFG00000031202	ENSCAFG00000031202.2	1	117725790	117798177			484590	J9NV10	
ENSCAFG00000002575	ENSCAFG00000002575.3	1	102223027	102225653	NAT14	HGNC Symbol	611287		
ENSCAFG00000028693	ENSCAFG00000028693.1	1	111517870	111519279					
ENSCAFG00000007214	ENSCAFG00000007214.4	1	117705212	117708292				F1PTY2	
ENSCAFG00000004738	ENSCAFG00000004738.3	1	111515191	111523125	ZNF428	VGNC Symbol	611184	E2RGL0	
ENSCAFG00000024235	ENSCAFG00000024235.2	1	117696359	117697426					
ENSCAFG00000023591	ENSCAFG00000023591.4	1	25678042	25696807	VNN1	NCBI gene	442973	F1PAX0	VNN1-201
ENSCAFG00000023591	ENSCAFG00000023591.4	1	25678042	25696807	VNN1	NCBI gene	442973	F1PAX0	VNN1-202
ENSCAFG00000003665	ENSCAFG00000003665.4	1	107054410	107063550	SLC17A7	VGNC Symbol	476415	F6Y4M4	
ENSCAFG00000031172	ENSCAFG00000031172.2	1	111507543	111513308	CADM4	VGNC Symbol	484465		
ENSCAFG00000002573	ENSCAFG00000002573.5	1	102196890	102221444	SSC5D	VGNC Symbol	611280		
ENSCAFG00000004730	ENSCAFG00000004730.4	1	111476893	111490880	PLAUR	VGNC Symbol	476446		
ENSCAFG00000005606	ENSCAFG00000005606.5	1	114009711	114018191	PAK4	VGNC Symbol	484513	E2RE16	
ENSCAFG00000004226	ENSCAFG00000004226.3	1	109176983	109202591	STRN4	VGNC Symbol	610799	F1PPD2	
ENSCAFG00000030117	ENSCAFG00000030117.2	1	117634012	117656337	ZNF599	VGNC Symbol	100683052	J9P570	
ENSCAFG00000000691	ENSCAFG00000000691.5	1	49161444	49262277	IGF2R	VGNC Symbol	484067	B1H0W0	
ENSCAFG00000005593	ENSCAFG00000005593.4	1	113990024	113993837	NCCRP1	HGNC Symbol	612546		
ENSCAFG00000004755	ENSCAFG00000004755.4	1	111471522	111607386	ETHE1	VGNC Symbol	612416	E2RFL0	
ENSCAFG00000003659	ENSCAFG00000003659.4	1	107045697	107051236	PIH1D1	VGNC Symbol	611943		
ENSCAFG00000040931	ENSCAFG00000040931.2	1	111460052	111468408					
ENSCAFG00000002212	ENSCAFG00000002212.4	1	97622998	97662662	CDK20	VGNC Symbol	476355	F1PPV7	
ENSCAFG00000000393	ENSCAFG00000000393.4	1	40494461	40538937	PCMT1	VGNC Symbol	476242	E2R3G3	
ENSCAFG00000031063	ENSCAFG00000031063.2	1	102177255	102189068	SBK3	VGNC Symbol	611270		
ENSCAFG00000000742	ENSCAFG00000000742.3	1	49090041	49105244	MAS1	NCBI gene	484066	H6TB52	MAS1-201
ENSCAFG00000032164	ENSCAFG00000032164.2	1	117584798	117587707	ZNF792	VGNC Symbol	484586		
ENSCAFG00000005592	ENSCAFG00000005592.4	1	113987739	113989111	SYCN	VGNC Symbol	612545	F1PWB9	
ENSCAFG00000004208	ENSCAFG00000004208.2	1	109168644	109178319	FKRP	VGNC Symbol			
ENSCAFG00000000185	ENSCAFG00000000185.4	1	25546596	25607231	STX7	VGNC Symbol	483987		
ENSCAFG00000004727	ENSCAFG00000004727.5	1	111441748	111447042	IFGGE	UniProtKB Gene Name	476445	E2QTH3	
ENSCAFG00000042779	ENSCAFG00000042779.1	1	97596780	97598513					
ENSCAFG00000043411	ENSCAFG00000043411.1	1	97571529	97577938					
ENSCAFG00000029442	ENSCAFG00000029442.2	1	25507662	25510145	CCN2	VGNC Symbol	476202	J9NTX8	
ENSCAFG00000004726	ENSCAFG00000004726.4	1	111416624	111435575	SMG9	VGNC Symbol	476444	E2RGN4	
ENSCAFG00000028551	ENSCAFG00000028551.1	1	25294063	25294169	U6	RFAM			
ENSCAFG00000046090	ENSCAFG00000046090.1	1	25239757	25241311					
ENSCAFG00000002208	ENSCAFG00000002208.5	1	97356125	97390646	SPIN1	VGNC Symbol	476353	F6URN8	
ENSCAFG00000034323	ENSCAFG00000034323.2	1	97163483	97173906					
ENSCAFG00000021998	ENSCAFG00000021998.2	1	97122825	97122939	U6	RFAM			
ENSCAFG00000037624	ENSCAFG00000037624.2	1	97113997	97116715					
ENSCAFG00000000183	ENSCAFG00000000183.4	1	25224975	25225475					
ENSCAFG00000002204	ENSCAFG00000002204.3	1	97104652	97105857	S1PR3	VGNC Symbol	484199	E2RF74	
ENSCAFG00000039774	ENSCAFG00000039774.2	1	117554966	117556317					
ENSCAFG00000041789	ENSCAFG00000041789.1	1	25118271	25118970					
ENSCAFG00000007606	ENSCAFG00000007606.6	1	121530203	121614909	URI1	VGNC Symbol	476501	J9NXQ7	
ENSCAFG00000027968	ENSCAFG00000027968.1	1	25075226	25075316	U6	RFAM			
ENSCAFG00000004723	ENSCAFG00000004723.5	1	111391159	111407701	KCNN4	VGNC Symbol	484464	F1PNK5	
ENSCAFG00000004723	ENSCAFG00000004723.5	1	111391159	111407701	KCNN4	VGNC Symbol	484464	F1PFH0	
ENSCAFG00000049211	ENSCAFG00000049211.1	1	121380604	121393393					
ENSCAFG00000004720	ENSCAFG00000004720.4	1	111378091	111381480	LYPD5	VGNC Symbol	100688689		
ENSCAFG00000044291	ENSCAFG00000044291.1	1	102142455	102152936	ZNF579	HGNC Symbol	484293		
ENSCAFG00000002561	ENSCAFG00000002561.4	1	102137690	102141826	FIZ1	HGNC Symbol	100856606	J9P170	
ENSCAFG00000000390	ENSCAFG00000000390.4	1	40482518	40491844	NUP43	VGNC Symbol	484031	F1P643	
ENSCAFG00000007157	ENSCAFG00000007157.5	1	117515393	117537943	GRAMD1A	VGNC Symbol	484585		
ENSCAFG00000002564	ENSCAFG00000002564.5	1	102121927	102133697	ZNF865	VGNC Symbol			
ENSCAFG00000047306	ENSCAFG00000047306.1	1	95362709	95366675					
ENSCAFG00000044897	ENSCAFG00000044897.1	1	95340371	95359901					
ENSCAFG00000000740	ENSCAFG00000000740.4	1	49044979	49062802	PNLDC1	VGNC Symbol	484065	E2R0L8	
ENSCAFG00000007601	ENSCAFG00000007601.4	1	120975937	121374580	ZNF536	VGNC Symbol	484609		
ENSCAFG00000049944	ENSCAFG00000049944.1	1	102116063	102119366	ZNF784	HGNC Symbol	100688293	J9P467	
ENSCAFG00000031434	ENSCAFG00000031434.2	1	49038871	49043501	MRPL18	VGNC Symbol	476260	J9P2G0	
ENSCAFG00000043093	ENSCAFG00000043093.1	1	102101109	102102128					
ENSCAFG00000044345	ENSCAFG00000044345.1	1	120960199	120969312					
ENSCAFG00000021329	ENSCAFG00000021329.1	1	49034746	49034885	SNORA29	HGNC Symbol			
ENSCAFG00000049430	ENSCAFG00000049430.1	1	120953268	120956566					
ENSCAFG00000002166	ENSCAFG00000002166.4	1	95324043	95324745					
ENSCAFG00000033119	ENSCAFG00000033119.2	1	120695807	120758948					
ENSCAFG00000047300	ENSCAFG00000047300.1	1	120952896	120955720					
ENSCAFG00000044350	ENSCAFG00000044350.1	1	49030637	49030693	cfa-mir-1836	miRBase	100885884		
ENSCAFG00000044524	ENSCAFG00000044524.1	1	120464113	120465129					
ENSCAFG00000048320	ENSCAFG00000048320.1	1	120609706	120618228					
ENSCAFG00000002201	ENSCAFG00000002201.5	1	97019928	97094844	SHC3	VGNC Symbol	476352		
ENSCAFG00000028099	ENSCAFG00000028099.1	1	49030633	49030762	SNORA20	HGNC Symbol			
ENSCAFG00000045370	ENSCAFG00000045370.1	1	120460740	120471280					
ENSCAFG00000028709	ENSCAFG00000028709.2	1	102100308	102100823	ZNF580	VGNC Symbol	100688358	J9P0K1	
ENSCAFG00000000385	ENSCAFG00000000385.4	1	40373904	40422627	KATNA1	VGNC Symbol	476240	E2R3K3	
ENSCAFG00000005588	ENSCAFG00000005588.3	1	113955138	113956579					
ENSCAFG00000000184	ENSCAFG00000000184.5	1	25018509	25112478	MOXD1	VGNC Symbol	483986	E2R4Q3	
ENSCAFG00000003649	ENSCAFG00000003649.4	1	107032192	107047197	ALDH16A1	VGNC Symbol	610267		
ENSCAFG00000038281	ENSCAFG00000038281.2	1	24982909	24986601					
ENSCAFG00000007592	ENSCAFG00000007592.5	1	120388107	120456185	TSHZ3	VGNC Symbol	484607	F1Q4G7	
ENSCAFG00000032487	ENSCAFG00000032487.2	1	40349141	40374199	GINM1	VGNC Symbol			
ENSCAFG00000048092	ENSCAFG00000048092.1	1	120378490	120382767					
ENSCAFG00000042711	ENSCAFG00000042711.1	1	120345568	120361087					
ENSCAFG00000044311	ENSCAFG00000044311.1	1	120175070	120185674					
ENSCAFG00000044385	ENSCAFG00000044385.1	1	120086903	120093672					
ENSCAFG00000020800	ENSCAFG00000020800.1	1	120022734	120022842	U6	RFAM			
ENSCAFG00000047215	ENSCAFG00000047215.1	1	119881341	120066117					
ENSCAFG00000032633	ENSCAFG00000032633.2	1	111303693	111414275	ZNF283	VGNC Symbol			
ENSCAFG00000032256	ENSCAFG00000032256.1	1	102098457	102099053	ZNF581	VGNC Symbol	106559556	J9NXG0	
ENSCAFG00000026232	ENSCAFG00000026232.1	1	119849667	119849827	U1	RFAM			
ENSCAFG00000048306	ENSCAFG00000048306.1	1	119809151	119811784					
ENSCAFG00000044602	ENSCAFG00000044602.1	1	119829227	119832332					
ENSCAFG00000044935	ENSCAFG00000044935.1	1	119762955	119765013					
ENSCAFG00000004707	ENSCAFG00000004707.4	1	111263944	111285680	ZNF404	VGNC Symbol			
ENSCAFG00000047373	ENSCAFG00000047373.1	1	119582910	119708478					
ENSCAFG00000041829	ENSCAFG00000041829.1	1	113939036	113940699					
ENSCAFG00000007590	ENSCAFG00000007590.4	1	119546916	119582055	ZNF507	VGNC Symbol	484604	F1Q4H7	
ENSCAFG00000005582	ENSCAFG00000005582.3	1	113905372	113907469					
ENSCAFG00000000732	ENSCAFG00000000732.4	1	49029282	49038020	TCP1	VGNC Symbol	484064	E2R0L9	
ENSCAFG00000000379	ENSCAFG00000000379.4	1	40296957	40342759	PPIL4	VGNC Symbol		F1P661	
ENSCAFG00000002163	ENSCAFG00000002163.5	1	95088745	95280151	ROR2	VGNC Symbol			
ENSCAFG00000002188	ENSCAFG00000002188.5	1	96880369	96933862	SECISBP2	VGNC Symbol	476351	E2RJY1	
ENSCAFG00000002188	ENSCAFG00000002188.5	1	96880369	96933862	SECISBP2	VGNC Symbol	100686141	E2RJY1	
ENSCAFG00000005579	ENSCAFG00000005579.5	1	113891484	113898140	LRFN1	VGNC Symbol	484512	F1PWE0	
ENSCAFG00000000720	ENSCAFG00000000720.4	1	49011706	49029327	ACAT2	VGNC Symbol	484063		
ENSCAFG00000029944	ENSCAFG00000029944.2	1	111221092	111238285	ZNF45	VGNC Symbol		J9P0H6	
ENSCAFG00000002558	ENSCAFG00000002558.4	1	102091834	102095708	CCDC106	VGNC Symbol	476376	E2R0G1	
ENSCAFG00000031536	ENSCAFG00000031536.2	1	24541811	24925464	LDLRAD4	VGNC Symbol	483983	J9NUX7	
ENSCAFG00000026733	ENSCAFG00000026733.1	1	48994422	48994538					
ENSCAFG00000004201	ENSCAFG00000004201.3	1	109150205	109161141	SLC1A5	VGNC Symbol	484425		
ENSCAFG00000003636	ENSCAFG00000003636.5	1	107015223	107024708	FLT3LG	VGNC Symbol	442938	Q9MZV0	
ENSCAFG00000007575	ENSCAFG00000007575.5	1	119457952	119527420	DPY19L3	VGNC Symbol	611998	E2RS53	
ENSCAFG00000025994	ENSCAFG00000025994.1	1	107012520	107012603	SNORD33	RFAM			
ENSCAFG00000022178	ENSCAFG00000022178.1	1	107011784	107011868	SNORD33	RFAM			
ENSCAFG00000026335	ENSCAFG00000026335.1	1	107011504	107011576	SNORD34	RFAM			
ENSCAFG00000025861	ENSCAFG00000025861.1	1	107011229	107011315	SNORD35A	HGNC Symbol			
ENSCAFG00000047797	ENSCAFG00000047797.1	1	119441092	119442435					
ENSCAFG00000047597	ENSCAFG00000047597.1	1	119405282	119405977					
ENSCAFG00000007129	ENSCAFG00000007129.4	1	117503828	117511727	SCN1B	VGNC Symbol	484584	F1PJY6	
ENSCAFG00000002160	ENSCAFG00000002160.4	1	94997290	95064468	SPTLC1	VGNC Symbol	484192	J9NW75	
ENSCAFG00000022450	ENSCAFG00000022450.2	1	94944866	94945069	U3	RFAM			
ENSCAFG00000048200	ENSCAFG00000048200.1	1	94944865	94945069					
ENSCAFG00000002551	ENSCAFG00000002551.4	1	102074790	102091385	U2AF2	VGNC Symbol	100687048		
ENSCAFG00000000173	ENSCAFG00000000173.4	1	24518239	24527820	FAM210A	VGNC Symbol	476201	E2R4R2	
ENSCAFG00000029288	ENSCAFG00000029288.2	1	111182991	111196104					
ENSCAFG00000000387	ENSCAFG00000000387.5	1	40260064	40457609	LATS1	VGNC Symbol	476241	F1P647	
ENSCAFG00000000387	ENSCAFG00000000387.5	1	40260064	40457609	LATS1	VGNC Symbol	476241	J9P8D0	
ENSCAFG00000002159	ENSCAFG00000002159.4	1	94907440	94973867			484191		
ENSCAFG00000029892	ENSCAFG00000029892.2	1	107010190	107014267	RPL13A	NCBI gene	403680	F1PI16	RPL13A-201
ENSCAFG00000030057	ENSCAFG00000030057.2	1	111154040	111170054	ZNF234	HGNC Symbol	484461	J9P2R7	
ENSCAFG00000049040	ENSCAFG00000049040.1	1	94880101	94887568					
ENSCAFG00000042306	ENSCAFG00000042306.1	1	94827849	94880018					
ENSCAFG00000021944	ENSCAFG00000021944.1	1	107001519	107001604	SNORD35B	HGNC Symbol			
ENSCAFG00000000375	ENSCAFG00000000375.4	1	40259705	40279888	ZC3H12D	VGNC Symbol			
ENSCAFG00000002158	ENSCAFG00000002158.5	1	94820398	94826214					
ENSCAFG00000047551	ENSCAFG00000047551.1	1	94792908	94799424					
ENSCAFG00000041533	ENSCAFG00000041533.1	1	94785838	94787473					
ENSCAFG00000047889	ENSCAFG00000047889.1	1	40227571	40228599					
ENSCAFG00000007555	ENSCAFG00000007555.4	1	119379431	119384550	PDCD5	VGNC Symbol	476499		
ENSCAFG00000042625	ENSCAFG00000042625.1	1	94567857	94722777					
ENSCAFG00000002155	ENSCAFG00000002155.4	1	94535698	94561061					
ENSCAFG00000028607	ENSCAFG00000028607.2	1	113869354	113880532	GMFG	VGNC Symbol	611578		
ENSCAFG00000007533	ENSCAFG00000007533.4	1	119325873	119376948	ANKRD27	VGNC Symbol			
ENSCAFG00000003631	ENSCAFG00000003631.4	1	107000265	107003057	RPS11	VGNC Symbol	403684	F2Z4N5	
ENSCAFG00000023207	ENSCAFG00000023207.4	1	48976499	49003961	WTAP	VGNC Symbol	476259	J9JHQ9	
ENSCAFG00000026730	ENSCAFG00000026730.1	1	106998756	106998812	cfa-mir-150	miRBase	100886113		
ENSCAFG00000007509	ENSCAFG00000007509.4	1	119321909	119322625	RGS9BP	VGNC Symbol	612699	E2QXR4	
ENSCAFG00000002139	ENSCAFG00000002139.4	1	94255180	94257540					
ENSCAFG00000044802	ENSCAFG00000044802.1	1	94188893	94191670					
ENSCAFG00000007126	ENSCAFG00000007126.4	1	117486340	117502583	HPN	VGNC Symbol	484583		
ENSCAFG00000000116	ENSCAFG00000000116.5	1	17633591	17950072	NEDD4L	VGNC Symbol	476189	J9NXT6	
ENSCAFG00000002137	ENSCAFG00000002137.5	1	94096954	94103734			102155374		
ENSCAFG00000042736	ENSCAFG00000042736.1	1	117473513	117476796					
ENSCAFG00000048377	ENSCAFG00000048377.1	1	117464244	117478138					
ENSCAFG00000002180	ENSCAFG00000002180.4	1	96814674	96878968	SEMA4D	VGNC Symbol	476350	F1PSB1	
ENSCAFG00000020640	ENSCAFG00000020640.2	1	17593837	17593929	MIR122	HGNC Symbol			
ENSCAFG00000007505	ENSCAFG00000007505.5	1	119231485	119290086	TDRD12	VGNC Symbol	612696	J9P108	
ENSCAFG00000029028	ENSCAFG00000029028.2	1	111131106	111141316	ZNF226	HGNC Symbol	100855887	J9P984	
ENSCAFG00000023881	ENSCAFG00000023881.3	1	111094614	111105840	ZNF227	VGNC Symbol	484460	E2RHJ1	
ENSCAFG00000002531	ENSCAFG00000002531.4	1	102059181	102073561	EPN1	VGNC Symbol	608964	F6X6H3	
ENSCAFG00000003625	ENSCAFG00000003625.4	1	106982833	106991467	FCGRT	VGNC Symbol	476414	E2R0L6	
ENSCAFG00000047817	ENSCAFG00000047817.1	1	111058526	111068093					
ENSCAFG00000004193	ENSCAFG00000004193.4	1	109082221	109105230	AP2S1	VGNC Symbol	476427		
ENSCAFG00000000373	ENSCAFG00000000373.4	1	40149569	40215385	TAB2	VGNC Symbol	484028	E2R4C7	
ENSCAFG00000002131	ENSCAFG00000002131.4	1	93846269	93957359	ERMP1	VGNC Symbol	484188		
ENSCAFG00000000107	ENSCAFG00000000107.4	1	17445543	17583600	ALPK2	VGNC Symbol	483966	F6XIT9	
ENSCAFG00000046379	ENSCAFG00000046379.1	1	40081303	40088653					
ENSCAFG00000044926	ENSCAFG00000044926.1	1	40073013	40094577					
ENSCAFG00000002174	ENSCAFG00000002174.4	1	96744985	96746520	GADD45G	VGNC Symbol	484198	E2RK27	
ENSCAFG00000002524	ENSCAFG00000002524.4	1	102053858	102057095			484289		
ENSCAFG00000003620	ENSCAFG00000003620.5	1	106966856	106981949	RCN3	VGNC Symbol	484379	J9NUZ4	
ENSCAFG00000047372	ENSCAFG00000047372.1	1	39974709	40060010					
ENSCAFG00000046505	ENSCAFG00000046505.1	1	96709182	96712636					
ENSCAFG00000042751	ENSCAFG00000042751.1	1	96679625	96682624					
ENSCAFG00000043668	ENSCAFG00000043668.1	1	39956262	39991664					
ENSCAFG00000047833	ENSCAFG00000047833.1	1	96678077	96679478					
ENSCAFG00000038160	ENSCAFG00000038160.2	1	39947472	39950326					
ENSCAFG00000027634	ENSCAFG00000027634.1	1	17416572	17416675	U6	RFAM			
ENSCAFG00000043749	ENSCAFG00000043749.1	1	96650197	96653540					
ENSCAFG00000048476	ENSCAFG00000048476.1	1	96637305	96642974					
ENSCAFG00000038271	ENSCAFG00000038271.2	1	96629927	96633966					
ENSCAFG00000041233	ENSCAFG00000041233.1	1	96588752	96597860					
ENSCAFG00000044594	ENSCAFG00000044594.1	1	96541021	96545806					
ENSCAFG00000048570	ENSCAFG00000048570.1	1	96535173	96540888					
ENSCAFG00000044045	ENSCAFG00000044045.1	1	96523258	96539301					
ENSCAFG00000045524	ENSCAFG00000045524.1	1	96511022	96512471					
ENSCAFG00000040843	ENSCAFG00000040843.2	1	96507171	96509713					
ENSCAFG00000007499	ENSCAFG00000007499.4	1	119205833	119229054	SLC7A9	VGNC Symbol	484601		
ENSCAFG00000049470	ENSCAFG00000049470.1	1	101953637	102005211					
ENSCAFG00000024115	ENSCAFG00000024115.4	1	102013909	102036811	NLRP9	VGNC Symbol	476375		
ENSCAFG00000028315	ENSCAFG00000028315.1	1	93774696	93774793	U2	RFAM			
ENSCAFG00000002520	ENSCAFG00000002520.5	1	101896523	101921918	NLRP13	VGNC Symbol		F1PS71	
ENSCAFG00000003614	ENSCAFG00000003614.4	1	106937994	106957056	NOSIP	VGNC Symbol		E2R5E4	
ENSCAFG00000024197	ENSCAFG00000024197.3	1	101855440	101877099	NLRP8	VGNC Symbol	611217		
ENSCAFG00000002173	ENSCAFG00000002173.4	1	96496283	96497203					
ENSCAFG00000047403	ENSCAFG00000047403.1	1	96413494	96478079					
ENSCAFG00000035929	ENSCAFG00000035929.2	1	96376484	96405114					
ENSCAFG00000047224	ENSCAFG00000047224.1	1	96230940	96245086					
ENSCAFG00000047591	ENSCAFG00000047591.1	1	96131311	96153946					
ENSCAFG00000000105	ENSCAFG00000000105.5	1	17354926	17403927	MALT1	VGNC Symbol	476188		
ENSCAFG00000047511	ENSCAFG00000047511.1	1	96124311	96126661					
ENSCAFG00000047998	ENSCAFG00000047998.1	1	17342674	17344095					
ENSCAFG00000031857	ENSCAFG00000031857.2	1	110955986	111146182	ZNF235	VGNC Symbol	100685629		
ENSCAFG00000043206	ENSCAFG00000043206.1	1	96052872	96055215					
ENSCAFG00000044716	ENSCAFG00000044716.1	1	17315568	17317161					
ENSCAFG00000043880	ENSCAFG00000043880.1	1	17305359	17331468					
ENSCAFG00000005568	ENSCAFG00000005568.5	1	113828447	113857314	SAMD4B	VGNC Symbol	484511		
ENSCAFG00000000671	ENSCAFG00000000671.4	1	48836262	48955706	SOD2	VGNC Symbol	476258		
ENSCAFG00000007486	ENSCAFG00000007486.5	1	119123933	119197338	CEP89	VGNC Symbol	476497	J9NW13	
ENSCAFG00000024500	ENSCAFG00000024500.4	1	106932232	106936422	PRRG2	VGNC Symbol	100855529	E2R5G1	
ENSCAFG00000029578	ENSCAFG00000029578.1	1	110946680	110946786	U6	RFAM			
ENSCAFG00000039783	ENSCAFG00000039783.2	1	110935210	110938667					
ENSCAFG00000000372	ENSCAFG00000000372.4	1	39633501	39921289	UST	VGNC Symbol	476238		
ENSCAFG00000046665	ENSCAFG00000046665.1	1	48776797	48781446					
ENSCAFG00000042939	ENSCAFG00000042939.1	1	48675547	48682931					
ENSCAFG00000030075	ENSCAFG00000030075.1	1	48664851	48664957	U6	RFAM			
ENSCAFG00000048723	ENSCAFG00000048723.1	1	48605599	48609748					
ENSCAFG00000002128	ENSCAFG00000002128.5	1	93735077	93841401	RIC1	VGNC Symbol	484187		
ENSCAFG00000031289	ENSCAFG00000031289.2	1	110890686	110917629	ZNF285	HGNC Symbol			
ENSCAFG00000047765	ENSCAFG00000047765.1	1	85269379	85280147					
ENSCAFG00000025949	ENSCAFG00000025949.1	1	93725094	93725164	U6	RFAM			
ENSCAFG00000005550	ENSCAFG00000005550.5	1	113828007	113832735	PAF1	HGNC Symbol	476464		
ENSCAFG00000002121	ENSCAFG00000002121.4	1	93631979	93689266	PDCD1LG2	VGNC Symbol	609699		
ENSCAFG00000002501	ENSCAFG00000002501.4	1	101813449	101842633	NLRP5	VGNC Symbol			
ENSCAFG00000002120	ENSCAFG00000002120.4	1	93585518	93603522	CD274	VGNC Symbol	484186	E2RKZ5	
ENSCAFG00000005533	ENSCAFG00000005533.4	1	113823877	113827718	MED29	VGNC Symbol	612535	F1PKM4	
ENSCAFG00000030170	ENSCAFG00000030170.2	1	110868009	110886705	ZNF229	VGNC Symbol	106557467	J9NZT3	
ENSCAFG00000001801	ENSCAFG00000001801.4	1	85041574	85187369	TMC1	VGNC Symbol			
ENSCAFG00000045012	ENSCAFG00000045012.1	1	85004656	85011524					
ENSCAFG00000000667	ENSCAFG00000000667.6	1	48501355	48602336	FNDC1	VGNC Symbol	484061	J9P2Z5	
ENSCAFG00000029358	ENSCAFG00000029358.2	1	119120463	119124038	FAAP24	VGNC Symbol	476496		
ENSCAFG00000002116	ENSCAFG00000002116.4	1	93523572	93575747	PLGRKT	VGNC Symbol	609677	E2R7U0	
ENSCAFG00000000172	ENSCAFG00000000172.4	1	24430063	24497206	MC5R	HGNC Symbol	476200	E2R4R3	
ENSCAFG00000005530	ENSCAFG00000005530.4	1	113816273	113818065	ZFP36	VGNC Symbol	484510		
ENSCAFG00000000170	ENSCAFG00000000170.4	1	24388280	24389170	MC2R	VGNC Symbol	100855756		
ENSCAFG00000046108	ENSCAFG00000046108.1	1	24350383	24388259					
ENSCAFG00000044901	ENSCAFG00000044901.1	1	24270886	24296543					
ENSCAFG00000000366	ENSCAFG00000000366.4	1	39146020	39476914	SASH1	VGNC Symbol	608649	F1P6L4	
ENSCAFG00000004190	ENSCAFG00000004190.5	1	108952562	109034337	ARHGAP35	VGNC Symbol	403543	P83509	
ENSCAFG00000004190	ENSCAFG00000004190.5	1	108952562	109034337	ARHGAP35	VGNC Symbol	403543	J9NUY1	
ENSCAFG00000002171	ENSCAFG00000002171.5	1	95903566	95955583	SYK	VGNC Symbol	484196		
ENSCAFG00000002481	ENSCAFG00000002481.4	1	101745773	101797912	ZNF787	VGNC Symbol	484286		
ENSCAFG00000001791	ENSCAFG00000001791.5	1	84940411	84994789	ALDH1A1	VGNC Symbol	476323	J9P9J4	
ENSCAFG00000003611	ENSCAFG00000003611.5	1	106904557	106930990	PRR12	VGNC Symbol	484377	F1P7G6	
ENSCAFG00000000665	ENSCAFG00000000665.6	1	48383504	48392188	TAGAP	VGNC Symbol	484059	J9NY68	
ENSCAFG00000007465	ENSCAFG00000007465.5	1	119061562	119119468	RHPN2	VGNC Symbol	403518		
ENSCAFG00000002115	ENSCAFG00000002115.4	1	93500682	93505098	RLN2	NCBI gene	403742		RLN2-201
ENSCAFG00000047931	ENSCAFG00000047931.1	1	38936970	38938097					
ENSCAFG00000038339	ENSCAFG00000038339.2	1	38497384	38499455					
ENSCAFG00000000169	ENSCAFG00000000169.5	1	24072415	24088798	MRO	VGNC Symbol	483979	F1PAY1	
ENSCAFG00000042439	ENSCAFG00000042439.1	1	24044390	24067872					
ENSCAFG00000005521	ENSCAFG00000005521.5	1	113800305	113810683	PLEKHG2	VGNC Symbol	484509		
ENSCAFG00000048437	ENSCAFG00000048437.1	1	48370029	48370499					
ENSCAFG00000027615	ENSCAFG00000027615.2	1	48338753	48338852	U6	RFAM			
